大客户经理,通信/电信/网络设备,浙江远拓网络科技有限公司,大专,8千-1万,2年,宁波
手机销售顾问（华为体验店）,通信/电信/网络设备,黄石天诚信息科技有限责任公司,高中,4-8千,1年,黄石
项目助理,农/林/牧/渔,云南英茂花卉产业有限公司,本科,4-6千,3-4年,昆明
电话客服专员,医疗设备/器械,四川精晶科技发展有限责任公司,大专,3.5-7千,无需经验,成都
运营助理,互联网/电子商务,厦门鸿瑞鑫盛电子商务有限公司,大专,5-8千,无需经验,厦门
奔驰销售顾问-永康利之星,汽车,永康利之星汽车销售服务有限公司,大专,8千-1.6万,1年,金华
商务司机,机械/设备/重工,九江消防装备有限公司,高中,5-6千,3-4年,九江
SEO运营推广,互联网/电子商务,爱拼物流科技有限公司,本科,5-8千,2年,长沙
贝壳找房大平台招聘置业顾问,中介服务,宜宾念正美营销策划有限公司,中技/中专,5千-1万,2年,宜宾
跟单助理,服装/纺织/皮革,深圳市稳进服装有限公司,大专,4.5-6千,3-4年,深圳
短视频剪辑,家居/室内设计/装潢,吉安市吉州区丛一楼装饰工程有限公司,,4-6千,无需经验,吉安
文员/统计,快速消费品(食品、饮料、化妆品),浙江飞洋杯业有限公司,,4.8-6千,1年,金华
贝壳找房大平台&房产销售,中介服务,宜宾念正美营销策划有限公司,中技/中专,4-8千,1年,宜宾
机械设计工程师,学术/科研,韶山市碳基材料产业研究院,本科,8千-1万,3-4年,湘潭
门店营业员,批发/零售,湖北馋不二品牌管理有限公司,高中,3.5-5.5千,1年,武汉
冲压模具钳工,机械/设备/重工,江西川恒电驱动系统有限公司,,5千-1万,2年,上饶
急招五金品检,贸易/进出口,厦门迈维斯货架有限公司,中技/中专,5-8千·13薪,1年,厦门
园林施工经理,建筑/建材/工程,江西翰林实业有限公司,本科,1-1.5万,5-7年,南昌
机械结构工程师,电子技术/半导体/集成电路,宁波扇贝科技有限公司,本科,8千-1.2万·13薪,2年,宁波
客服,建筑/建材/工程,杭州鸿晟建筑工程有限公司,大专,5-8千,2年,杭州
生产物料/跟单核算员,服装/纺织/皮革,上海姿汇纺织装饰有限公司,中技/中专,8千-1万,3-4年,上海
行车工,原材料和加工,江阴市宏鑫宝金属有限公司,初中及以下,7.5千-1万,1年,无锡
医药商务经理,医疗/护理/卫生,广西乐欣医药科技有限公司,大专,3-6千,1年,南宁
行政主管,印刷/包装/造纸,禧图纸品印刷（深圳）有限公司,大专,8千-1.2万,3-4年,深圳
检测工程师,检测，认证,成都三方电气有限公司,本科,8-15万/年,无需经验,成都
工厂清洁工,原材料和加工,深圳市金盾兴机电有限公司,初中及以下,3.5-3.8千,1年,深圳
出纳,建筑/建材/工程,深圳市成效项目管理有限公司惠州分公司,大专,4-6千,2年,惠州
分校校长/咨询主管,教育/培训/院校,广州市海珠区京师课外教育培训中心有限责任公司,本科,1-1.5万,3-4年,广州
工装夹具工程师,机械/设备/重工,广州佳乂特起重机电工程有限公司,大专,4.5-8千,1年,东莞
机械设计工程师,仪器仪表/工业自动化,上海真兰仪表科技股份有限公司,本科,1.5-3万,3-4年,北京
电商运营,家具/家电/玩具/礼品,浙江比依电器股份有限公司,大专,6千-1万·13薪,1年,宁波
宁波高新区管培生-就近安排,餐饮业,上海必胜客有限公司浙江分公司,大专,5-6千,无需经验,宁波
精益工程师,汽车,芜湖本特勒浦项汽车配件制造有限公司,本科,0.8-1万,3-4年,芜湖
医疗器械销售经理（口腔CBCT）,医疗设备/器械,深圳市菲森科技有限公司,大专,8千-1万·13薪,5-7年,赣州
文案策划,广告,湖北睿楚文化发展有限公司,大专,7千-1.2万,3-4年,武汉
品牌孵化（IP打造）,房地产,星光耀智诚建设集团有限公司,大专,8千-1万,3-4年,武汉
促销员,快速消费品(食品、饮料、化妆品),东莞市润汇实业有限公司,高中,5-7千,2年,广州
财务总监,机械/设备/重工,珠海市华亚智能科技有限公司,本科,2-3.5万,10年以上,珠海
机械装配工艺工程师,仪器仪表/工业自动化,杭州佩克昂科技有限公司,大专,8千-1万,2年,杭州
生产文员,机械/设备/重工,杭州威士德灵智科技有限公司,大专,4-5千,1年,杭州
谈判公关,物业管理/商业中心,云南永旺市场管理股份有限公司,本科,6-8千,3-4年,昆明
销售工程师（工作地：北京）,制药/生物工程,上海安净生物技术有限公司,大专,6千-1万,无需经验,北京
产品讲师（医药行业）,制药/生物工程,康芝药业股份有限公司,大专,6千-1.2万·18薪,3-4年,广州
商务专员,建筑/建材/工程,上海碧化环保科技有限公司,大专,5-7千·13薪,1年,上海
海外商务经理,快速消费品(食品、饮料、化妆品),深圳云普星河科技服务有限公司,本科,1.3-2.5万·13薪,3-4年,深圳
物业客服经理,物业管理/商业中心,北京仲量联行物业管理服务有限公司深圳分公司,大专,1-1.3万,3-4年,深圳
仓库管理员,电气/电力/水利,广东澳升能源科技有限公司,中技/中专,4.5-5.5千,1年,广州
机械工程师,机械/设备/重工,广州捷晟自动化控制设备有限公司,本科,1.2-2.4万,3-4年,广州
研发质量工程师,医疗设备/器械,上海逸思医疗科技有限公司,本科,1.5-2.2万·15薪,3-4年,上海
项目销售总监,房地产,广东帝融科技园发展有限公司,大专,1.5-2.5万,5-7年,广州
财务经理,贸易/进出口,海南景领国际贸易有限公司,本科,1-1.5万·13薪,3-4年,桂林
操作员/包装工/灌装工/普工,快速消费品(食品、饮料、化妆品),润本生物技术股份有限公司,,4-6千,1年,广州
测量员/测量工程师,房地产,重庆北辰建设投资有限公司,大专,8-9千,3-4年,重庆
产品摄像师,贸易/进出口,摩米士科技（深圳）有限公司,大专,1.3-1.5万,3-4年,深圳
厨师,石油/化工/矿产/地质,广东广安冠德石化有限公司,初中及以下,7-8千·13薪,3-4年,深圳
业务经理(驻外）,贸易/进出口,武汉周正工贸有限公司,本科,8千-1.5万·13薪,3-4年,武汉
销售工程师（双休）,机械/设备/重工,深圳市振豪密封技术有限公司,大专,6千-1万,1年,大连
区域销售经理（交换机/智能运维箱）,通信/电信/网络设备,深圳市巨联高科技有限公司,大专,8千-1.6万,3-4年,深圳
土建工程师,物业管理/商业中心,上海东津投资发展有限公司,本科,1.5-2万,5-7年,上海
销售外呼（华星奔驰武侯店）,汽车,华星锦业集团有限公司,高中,6千-1.2万,无需经验,成都
仓库管理员,电气/电力/水利,广东澳升能源科技有限公司,中技/中专,4.5-5.5千,1年,广州
